Index,Abstract,Reviewer,True label,Comments,Requires expert review,JH Review,Prediction
5,Vehicle body restraint systems including buckles for latching and retaining latch plates associated with safety belts wherein the buckles includes latching mechanisms having oppositely oriented release mechanisms which are operative in such a manner that any force applied to one release mechanism which would act to release a latch plate creates an increased force on the opposing release mechanism to retain the latch plate in a locked position. Release of the latch plates can only occur upon the simultaneous activation of the opposing release mechanisms by manual force applied in opposite directions.,Rohan,No,Buckles,,,No
12,"The single-foot drivable skate and skateboard is constituted of the simultaneously steering-driving mechanism, synchronous differential driving mechanism, wheel and board. The simultaneously steering-driving mechanism comprises a universal pedal, the driving-steering rod and the single pole truck. The single pole truck pivotally supports the board with a pivot joint or ball joint. The driving-steering rod slides in the slot passing through the pivotal joint and the truck. The synchronous differential driving mechanism made of the noncontact gripping force or the upper-bounded gripping force includes the engaging drums shifted by the shift screws. The shift screws are knotched at the ends of the crankshaft axis. With the manipulation of a sole or heel, the skate or skateboard can twist the pedal to skate, tread the pedals to skate forward and backward, accelerate, decelerate, free-run, brake, turn right and left. To run on muddy and snowy roads, the non-stretchable length-adjustable belts are wrapped on the groovy sprocket wheels. The universal length-adjusting gears adjust the length of the belts and keep the tension in the belts.",Raymond,No,,,,No
17,"An implantable sensor array incorporates active electronic elements to greatly increase the number of sensors and their density that can be simultaneously recorded and activated. The sensors can be of various configurations and types, for example: optical, chemical, temperature, pressure or other sensors including effectors for applying signals to surrounding tissues. The sensors/effectors are arranged on a flexible and stretchable substrate with incorporated active components that allow the effective size, configuration, number and pattern of sensors/effectors to be dynamically changed, as needed, through a wired or wireless means of communication. Active processing allows many channels to be combined either through analog or digital means such that the number of wires exiting the array can be substantially reduced compared to the number of sensors/effectors on the array.",Lior,No,Not at all relater to AU.,,,No
18,"The present invention relates to a twisting mechanism for a duster for setting one end of a dusting cloth of the duster as a fixed end while setting the opposite end as a rotatable end. The twisting mechanism primarily comprises: a brace, inserted form the rear end through the front end of the dusting cloth and coupled with the front end of the dusting cloth to set it as a fixed end; and a rotating mechanism, pivotally connected to the rear end of the brace and hooking the rear end of the dusting cloth for driving the dusting cloth to twist into a spiral dusting cloth having a 360-degree dusting surface on the brace.",Jamie,No,"About a duster, unrelated to vechicles",,,No
24,"A catheter for sensing vertebrate conditions has plural piezoresistive sensors directly electrically coupled to discrete application specific integrated circuits. A mechano-responsive element is in pressure sensitive relationship with the piezoresistive sensor to act as a transfer medium through which vertebrate conditions such as pressure, temperature, water, glucose, and pH are transferred. Each integrated circuit is electrically coupled to a data acquisition system with monolithic circuitry in order to amplify and multiplex signals from multiple sensors.",Zara,No,healtchare,,,No
34,"A balloon is positionable in the patient&#39;s descending aorta. The balloon includes a balloon catheter and two pressure sensors that electrically couple to an extra-corporeal controller. The balloon itself also couples pneumatically to the extra-corporeal controller. An extra-corporeal pump electrically couples to the extra-corporeal controller, the pump having an outlet connectable to the patient&#39;s infra-diaphragmatic artery. The pump inlet is connectable via a cannula to the patient&#39;s supra-diaphragmatic artery.  
     A doctor inserts the balloon into the descending aorta, and positions the balloon near the level of the patient&#39;s diaphragm. A balloon catheter, coupled to the extra-corporeal controller, inflates and deflates the balloon. An electrocardiogram ECG and proximal aortic blood pressure, measured in the upper arterial compartment via a lumen in the balloon catheter, serve as inputs to cycle the balloon synchronously with the heartbeat.",Johanna,No,Intra-aortic balloon pump,,,No
39,"A fishing reel which includes a covering or enclosure that can also be functionally used as a toy car when detached from the fishing rod. The fishing reel functions as traditional spincast fishing reel when attached to the fishing rod. The reel enclosure is formed in the shape of a toy vehicle and is detachable from the fishing rod. Once removed, the reel enclosure can be reassembled and used as a toy vehicle independent of the rod.",Rohan,No,Fishing,,,No
53,"The invention relates to a vaginal probe, in particular for treating incontinence and comprising an external part ( 20 ), an internal part ( 22 ), a bridge ( 24 ) connecting said parts and processing electronics ( 28 ). The external part ( 20 ) is configured as a handle and has a cavity ( 26 ) and the internal part ( 22 ) is a body that is rounded on all sides. Said body: a) has sensors ( 44 - 51 ) on its surface, which are connected to the processing electronics ( 28 ); b) is symmetrical about a longitudinal central plane ( 32 ), which runs between the legs of a patient using said probe; c) has cross-sections that are perpendicular to said longitudinal central plane ( 32 ) and to the bridge ( 24 ), in which the measured height dimension H of said body, which runs parallel to the longitudinal central plane ( 32 ), is at maximum half its measured width B, which runs perpendicular to the longitudinal central plane ( 32 ); and d) has a front sub-section ( 36 ) that is at a distance from the external part ( 20 ), a central section ( 38 ) and a rear sub-section ( 40 ). Said central section ( 38 ) is curved, the rear sub-section ( 40 ) is connected to the bridge ( 24 ) and the front sub-section ( 36 ) and the rear sub-section ( 40 ) are interconnected in one piece by means of the central section ( 38 ) and are at an angle of between 170 DEG-100 DEG in relation to one another.",Raymond,No,,,,No
78,"Selective fractionation and separation of melanin and use of fractionated or separated melanin in connection with light filters is disclosed. Further, light filters that use yellow melanin or melanin like materials prepared to have a yellow color and a melanin transmission spectrum in combination with a photochromic dye are disclosed. The yellow form of melanin has minimal impact on the perception of light intensity with transmission values greater than 80%. The combination allows for a single light filter suitable for both night driving and sunglass applications and which also preserve color perception.",Lior,No,Not at all relater to AU.,,,No
94,An improved socket for a prosthesis uses a liner material providing fluid flow through a porous matrix whose local pressure is adjusted by a control system communicating with multiple valves and pressure sensors. Control of pressure in a viscoelastic material provides an improved trade-off between comfort and stability.,Jamie,No,"More related to healthcare, presthetics",,,No
